TRKNO;CUSNO;SHPNO;SHPDT;PRFLG;DAFLG;NCINV;INVRF;INVFL;DDFLG;CMRFL;SIVFL;SDDFL;ISSDT;INVNO;DDNBR;SHDDT;ESTDA;ESTTA;SHPNM;SHPA1;SHPA2;SHPA3;SHPCT;SHPAA;SHPTP;PACKG;CARQY;PALQY;GWGHT;NWGHT;WGTUM;WGTDC;VOLUM;SHPMK;UNLOC;CARNM;CARA1;CARA2;CARA3;SINFO;SNDNM;SNDA1;SNDA2;SNDA3;SNDCT;SNDAA;BILNO;BILNM;BILA1;BILA2;BILA3;BILCT;BILAA;BILNC;BILDP;BILTL;BILFX;ACTNO;ACTNM;ACTA1;ACTA2;ACTA3;ACTCT;ACTAA;SUPCD;PYTRM;FRTST;TRTRM;DELPT;PRTRM;BNKNM;BNKA1;BNKA2;BNKA3;BNKNO;INVNC;INVPT;INVAM;CURCD;CURDC;TAXAM;TAXPC;INSAM;FRGHT;SBLNO;SBLNM;SBLA1;SBLA2;SBLA3;SBLCT;SBLAA;SBLNC;SBLDP;SBLTL;SBLFX;SACNO;SACNM;SACA1;SACA2;SACA3;SACCT;SACAA;SSPCD;SPYTM;SFRST;STRTM;SDLPT;SPRTM;SBKNM;SBKA1;SBKA2;SBKA3;SBKNO;SINVC;SIVPT;SIVAM;SCRCD;SCRDC;STXAM;STXPC;SINAM;SFRGT
1160685;10000700;5;20250426;4;0;0;0;0;0;0;0;0;0;987117;0;20250426;0;0;                              ;                         ;                         ;                         ;   ;          ;          ;          ;0;0;0.0;0.0;  ;   ;0;          ;                    ;-                             ;                         ;                         ;                         ;                              ;                              ;                         ;                         ;                         ;   ;          ;0;                              ;                         ;                         ;                         ;   ;          ;                    ;                    ;                    ;                    ;0;                              ;                         ;                         ;                         ;   ;          ;               ;                              ;0;                              ;               ;   ;                         ;                         ;                         ;                         ;               ;                    ;                    ;0.0;  ;   ;0.0;0.0;0.0;0.0;0;                              ;                         ;                         ;                         ;   ;          ;                    ;                    ;                    ;                    ;0;                              ;                         ;                         ;                         ;   ;          ;               ;                              ;0;                              ;               ;   ;                         ;                         ;                         ;                         ;               ;                    ;                    ;0.0;  ;   ;0.0;0.0;0.0;0.0
1160686;10000700;5;20250426;4;0;0;0;0;0;0;0;0;0;987118;0;20250426;0;0;                              ;                         ;                         ;                         ;   ;          ;          ;          ;0;0;0.0;0.0;  ;   ;0;          ;                    ;-                             ;                         ;                         ;                         ;                              ;                              ;                         ;                         ;                         ;   ;          ;0;                              ;                         ;                         ;                         ;   ;          ;                    ;                    ;                    ;                    ;0;                              ;                         ;                         ;                         ;   ;          ;               ;                              ;0;                              ;               ;   ;                         ;                         ;                         ;                         ;               ;                    ;                    ;0.0;  ;   ;0.0;0.0;0.0;0.0;0;                              ;                         ;                         ;                         ;   ;          ;                    ;                    ;                    ;                    ;0;                              ;                         ;                         ;                         ;   ;          ;               ;                              ;0;                              ;               ;   ;                         ;                         ;                         ;                         ;               ;                    ;                    ;0.0;  ;   ;0.0;0.0;0.0;0.0
1160687;10000700;7;20250426;4;0;0;0;0;0;0;0;0;0;987119;0;20250426;0;0;                              ;                         ;                         ;                         ;   ;          ;          ;          ;0;0;0.0;0.0;  ;   ;0;          ;                    ;-                             ;                         ;                         ;                         ;                              ;                              ;                         ;                         ;                         ;   ;          ;0;                              ;                         ;                         ;                         ;   ;          ;                    ;                    ;                    ;                    ;0;                              ;                         ;                         ;                         ;   ;          ;               ;                              ;0;                              ;               ;   ;                         ;                         ;                         ;                         ;               ;                    ;                    ;0.0;  ;   ;0.0;0.0;0.0;0.0;0;                              ;                         ;                         ;                         ;   ;          ;                    ;                    ;                    ;                    ;0;                              ;                         ;                         ;                         ;   ;          ;               ;                              ;0;                              ;               ;   ;                         ;                         ;                         ;                         ;               ;                    ;                    ;0.0;  ;   ;0.0;0.0;0.0;0.0
1160688;10000700;9;20250426;4;0;0;0;0;0;0;0;0;0;987120;0;20250426;0;0;                              ;                         ;                         ;                         ;   ;          ;          ;          ;0;0;0.0;0.0;  ;   ;0;          ;                    ;-                             ;                         ;                         ;                         ;                              ;                              ;                         ;                         ;                         ;   ;          ;0;                              ;                         ;                         ;                         ;   ;          ;                    ;                    ;                    ;                    ;0;                              ;                         ;                         ;                         ;   ;          ;               ;                              ;0;                              ;               ;   ;                         ;                         ;                         ;                         ;               ;                    ;                    ;0.0;  ;   ;0.0;0.0;0.0;0.0;0;                              ;                         ;                         ;                         ;   ;          ;                    ;                    ;                    ;                    ;0;                              ;                         ;                         ;                         ;   ;          ;               ;                              ;0;                              ;               ;   ;                         ;                         ;                         ;                         ;               ;                    ;                    ;0.0;  ;   ;0.0;0.0;0.0;0.0
1160689;10000700;9;20250426;4;0;0;0;0;0;0;0;0;0;987121;0;20250426;0;0;                              ;                         ;                         ;                         ;   ;          ;          ;          ;0;0;0.0;0.0;  ;   ;0;          ;                    ;-                             ;                         ;                         ;                         ;                              ;                              ;                         ;                         ;                         ;   ;          ;0;                              ;                         ;                         ;                         ;   ;          ;                    ;                    ;                    ;                    ;0;                              ;                         ;                         ;                         ;   ;          ;               ;                              ;0;                              ;               ;   ;                         ;                         ;                         ;                         ;               ;                    ;                    ;0.0;  ;   ;0.0;0.0;0.0;0.0;0;                              ;                         ;                         ;                         ;   ;          ;                    ;                    ;                    ;                    ;0;                              ;                         ;                         ;                         ;   ;          ;               ;                              ;0;                              ;               ;   ;                         ;                         ;                         ;                         ;               ;                    ;                    ;0.0;  ;   ;0.0;0.0;0.0;0.0
1160690;10000700;9;20250426;4;0;0;0;0;0;0;0;0;0;987122;0;20250426;0;0;                              ;                         ;                         ;                         ;   ;          ;          ;          ;0;0;0.0;0.0;  ;   ;0;          ;                    ;-                             ;                         ;                         ;                         ;                              ;                              ;                         ;                         ;                         ;   ;          ;0;                              ;                         ;                         ;                         ;   ;          ;                    ;                    ;                    ;                    ;0;                              ;                         ;                         ;                         ;   ;          ;               ;                              ;0;                              ;               ;   ;                         ;                         ;                         ;                         ;               ;                    ;                    ;0.0;  ;   ;0.0;0.0;0.0;0.0;0;                              ;                         ;                         ;                         ;   ;          ;                    ;                    ;                    ;                    ;0;                              ;                         ;                         ;                         ;   ;          ;               ;                              ;0;                              ;               ;   ;                         ;                         ;                         ;                         ;               ;                    ;                    ;0.0;  ;   ;0.0;0.0;0.0;0.0
1160691;10000700;9;20250426;4;0;0;0;0;0;0;0;0;0;987123;0;20250426;0;0;                              ;                         ;                         ;                         ;   ;          ;          ;          ;0;0;0.0;0.0;  ;   ;0;          ;                    ;-                             ;                         ;                         ;                         ;                              ;                              ;                         ;                         ;                         ;   ;          ;0;                              ;                         ;                         ;                         ;   ;          ;                    ;                    ;                    ;                    ;0;                              ;                         ;                         ;                         ;   ;          ;               ;                              ;0;                              ;               ;   ;                         ;                         ;                         ;                         ;               ;                    ;                    ;0.0;  ;   ;0.0;0.0;0.0;0.0;0;                              ;                         ;                         ;                         ;   ;          ;                    ;                    ;                    ;                    ;0;                              ;                         ;                         ;                         ;   ;          ;               ;                              ;0;                              ;               ;   ;                         ;                         ;                         ;                         ;               ;                    ;                    ;0.0;  ;   ;0.0;0.0;0.0;0.0
1160692;10000700;9;20250426;4;0;0;0;0;0;0;0;0;0;987124;0;20250426;0;0;                              ;                         ;                         ;                         ;   ;          ;          ;          ;0;0;0.0;0.0;  ;   ;0;          ;                    ;-                             ;                         ;                         ;                         ;                              ;                              ;                         ;                         ;                         ;   ;          ;0;                              ;                         ;                         ;                         ;   ;          ;                    ;                    ;                    ;                    ;0;                              ;                         ;                         ;                         ;   ;          ;               ;                              ;0;                              ;               ;   ;                         ;                         ;                         ;                         ;               ;                    ;                    ;0.0;  ;   ;0.0;0.0;0.0;0.0;0;                              ;                         ;                         ;                         ;   ;          ;                    ;                    ;                    ;                    ;0;                              ;                         ;                         ;                         ;   ;          ;               ;                              ;0;                              ;               ;   ;                         ;                         ;                         ;                         ;               ;                    ;                    ;0.0;  ;   ;0.0;0.0;0.0;0.0
1160693;10000700;14;20250426;4;0;0;0;0;0;0;0;0;0;987125;0;20250426;0;0;                              ;                         ;                         ;                         ;   ;          ;          ;          ;0;0;0.0;0.0;  ;   ;0;          ;                    ;-                             ;                         ;                         ;                         ;                              ;                              ;                         ;                         ;                         ;   ;          ;0;                              ;                         ;                         ;                         ;   ;          ;                    ;                    ;                    ;                    ;0;                              ;                         ;                         ;                         ;   ;          ;               ;                              ;0;                              ;               ;   ;                         ;                         ;                         ;                         ;               ;                    ;                    ;0.0;  ;   ;0.0;0.0;0.0;0.0;0;                              ;                         ;                         ;                         ;   ;          ;                    ;                    ;                    ;                    ;0;                              ;                         ;                         ;                         ;   ;          ;               ;                              ;0;                              ;               ;   ;                         ;                         ;                         ;                         ;               ;                    ;                    ;0.0;  ;   ;0.0;0.0;0.0;0.0
1160694;10000700;16;20250426;4;0;0;0;0;0;0;0;0;0;987126;0;20250426;0;0;                              ;                         ;                         ;                         ;   ;          ;          ;          ;0;0;0.0;0.0;  ;   ;0;          ;                    ;-                             ;                         ;                         ;                         ;                              ;                              ;                         ;                         ;                         ;   ;          ;0;                              ;                         ;                         ;                         ;   ;          ;                    ;                    ;                    ;                    ;0;                              ;                         ;                         ;                         ;   ;          ;               ;                              ;0;                              ;               ;   ;                         ;                         ;                         ;                         ;               ;                    ;                    ;0.0;  ;   ;0.0;0.0;0.0;0.0;0;                              ;                         ;                         ;                         ;   ;          ;                    ;                    ;                    ;                    ;0;                              ;                         ;                         ;                         ;   ;          ;               ;                              ;0;                              ;               ;   ;                         ;                         ;                         ;                         ;               ;                    ;                    ;0.0;  ;   ;0.0;0.0;0.0;0.0
1160695;10000700;16;20250426;4;0;0;0;0;0;0;0;0;0;987127;0;20250426;0;0;                              ;                         ;                         ;                         ;   ;          ;          ;          ;0;0;0.0;0.0;  ;   ;0;          ;                    ;-                             ;                         ;                         ;                         ;                              ;                              ;                         ;                         ;                         ;   ;          ;0;                              ;                         ;                         ;                         ;   ;          ;                    ;                    ;                    ;                    ;0;                              ;                         ;                         ;                         ;   ;          ;               ;                              ;0;                              ;               ;   ;                         ;                         ;                         ;                         ;               ;                    ;                    ;0.0;  ;   ;0.0;0.0;0.0;0.0;0;                              ;                         ;                         ;                         ;   ;          ;                    ;                    ;                    ;                    ;0;                              ;                         ;                         ;                         ;   ;          ;               ;                              ;0;                              ;               ;   ;                         ;                         ;                         ;                         ;               ;                    ;                    ;0.0;  ;   ;0.0;0.0;0.0;0.0
1160696;10000700;9;20250426;4;0;0;0;0;0;0;0;0;0;987130;0;20250426;0;0;                              ;                         ;                         ;                         ;   ;          ;          ;          ;0;0;0.0;0.0;  ;   ;0;          ;                    ;-                             ;                         ;                         ;                         ;                              ;                              ;                         ;                         ;                         ;   ;          ;0;                              ;                         ;                         ;                         ;   ;          ;                    ;                    ;                    ;                    ;0;                              ;                         ;                         ;                         ;   ;          ;               ;                              ;0;                              ;               ;   ;                         ;                         ;                         ;                         ;               ;                    ;                    ;0.0;  ;   ;0.0;0.0;0.0;0.0;0;                              ;                         ;                         ;                         ;   ;          ;                    ;                    ;                    ;                    ;0;                              ;                         ;                         ;                         ;   ;          ;               ;                              ;0;                              ;               ;   ;                         ;                         ;                         ;                         ;               ;                    ;                    ;0.0;  ;   ;0.0;0.0;0.0;0.0
1160697;10000700;9;20250426;4;0;0;0;0;0;0;0;0;0;987131;0;20250426;0;0;                              ;                         ;                         ;                         ;   ;          ;          ;          ;0;0;0.0;0.0;  ;   ;0;          ;                    ;-                             ;                         ;                         ;                         ;                              ;                              ;                         ;                         ;                         ;   ;          ;0;                              ;                         ;                         ;                         ;   ;          ;                    ;                    ;                    ;                    ;0;                              ;                         ;                         ;                         ;   ;          ;               ;                              ;0;                              ;               ;   ;                         ;                         ;                         ;                         ;               ;                    ;                    ;0.0;  ;   ;0.0;0.0;0.0;0.0;0;                              ;                         ;                         ;                         ;   ;          ;                    ;                    ;                    ;                    ;0;                              ;                         ;                         ;                         ;   ;          ;               ;                              ;0;                              ;               ;   ;                         ;                         ;                         ;                         ;               ;                    ;                    ;0.0;  ;   ;0.0;0.0;0.0;0.0
1160698;10000705;34;20250426;4;0;0;0;0;0;0;0;0;0;987128;0;20250426;0;0;                              ;                         ;                         ;                         ;   ;          ;          ;          ;0;0;0.0;0.0;  ;   ;0;          ;                    ;-                             ;                         ;                         ;                         ;                              ;                              ;                         ;                         ;                         ;   ;          ;0;                              ;                         ;                         ;                         ;   ;          ;                    ;                    ;                    ;                    ;0;                              ;                         ;                         ;                         ;   ;          ;               ;                              ;0;                              ;               ;   ;                         ;                         ;                         ;                         ;               ;                    ;                    ;0.0;  ;   ;0.0;0.0;0.0;0.0;0;                              ;                         ;                         ;                         ;   ;          ;                    ;                    ;                    ;                    ;0;                              ;                         ;                         ;                         ;   ;          ;               ;                              ;0;                              ;               ;   ;                         ;                         ;                         ;                         ;               ;                    ;                    ;0.0;  ;   ;0.0;0.0;0.0;0.0
1160699;10000800;0;20250426;4;0;0;0;0;0;0;0;0;0;50860;0;20250426;0;0;                              ;                         ;                         ;                         ;   ;          ;          ;          ;0;0;0.0;0.0;  ;   ;0;          ;                    ;-                             ;                         ;                         ;                         ;                              ;                              ;                         ;                         ;                         ;   ;          ;0;                              ;                         ;                         ;                         ;   ;          ;                    ;                    ;                    ;                    ;0;                              ;                         ;                         ;                         ;   ;          ;               ;                              ;0;                              ;               ;   ;                         ;                         ;                         ;                         ;               ;                    ;                    ;0.0;  ;   ;0.0;0.0;0.0;0.0;0;                              ;                         ;                         ;                         ;   ;          ;                    ;                    ;                    ;                    ;0;                              ;                         ;                         ;                         ;   ;          ;               ;                              ;0;                              ;               ;   ;                         ;                         ;                         ;                         ;               ;                    ;                    ;0.0;  ;   ;0.0;0.0;0.0;0.0
