"SEQ"	"WH"	"DEVID"	"SYSFLG1"	"SYSFLG2"	"SYSFLG3"	"SYSFLG4"	"LOGINID"	"TRDATE"	"TRTYPE"	"OPESEQ"	"RESULT"	"RSNCODE"	"TRUCKNO"	"CUSTNO"	"SHIPPN"	"SHIPQTY"	"TAGTYPE"	"PN"	"CUSTPN"	"QTY"	"TAGSEQ"	"SCANDATE"	"SCANTIME"	"REGISTERED_AT"	"REGISTERED_COMPNAME"	"REGISTERED_COMPCODE"	"SHIPNO"	"CHECKTYPE"	"FILENAME"
32	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0168"	"0"	"2000"	"0131056"	"10005500"	"               "		"11"	"AE062020-65100T"	"85710-0K200-00           "	10	"0070259"	10-JAN-25	"162924"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
33	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0169"	"0"	"3000"	"0131056"	"10005500"	"               "		"UR"	"AE062020-65100T"	"85710-0K200-00           "	10	"289"	10-JAN-25	"162925"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
34	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0170"	"0"	"2000"	"0131056"	"10005500"	"               "		"11"	"AE062020-65100T"	"85710-0K200-00           "	10	"0070361"	10-JAN-25	"162931"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
35	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0171"	"0"	"3000"	"0131056"	"10005500"	"               "		"UR"	"AE062020-65100T"	"85710-0K200-00           "	10	"287"	10-JAN-25	"162932"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
36	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0172"	"0"	"2000"	"0131056"	"10005500"	"               "		"11"	"AE062020-65200T"	"85720-0K170-00           "	10	"0070173"	10-JAN-25	"162948"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
37	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0173"	"0"	"3000"	"0131056"	"10005500"	"               "		"UR"	"AE062020-65200T"	"85720-0K170-00           "	10	"751"	10-JAN-25	"162949"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
87	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0213"	"0"	"2000"	"0131056"	"10005500"	"               "		"11"	"AE262100-78000T"	"85710-0D570-00           "	10	"0070220"	10-JAN-25	"163437"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
88	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0214"	"0"	"3000"	"0131056"	"10005500"	"               "		"UR"	"AE262100-78000T"	"85710-0D570-00           "	10	"452"	10-JAN-25	"163439"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
75	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0009"	"0"	"2000"	"0130906"	"10005500"	"               "		"11"	"AE062020-95900T"	"85710-0K400-00           "	8	"0070001"	10-JAN-25	"163233"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
89	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0215"	"0"	"2000"	"0131056"	"10005500"	"               "		"11"	"AE262100-78000T"	"85710-0D570-00           "	10	"0070219"	10-JAN-25	"163441"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
90	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0216"	"0"	"3000"	"0131056"	"10005500"	"               "		"UR"	"AE262100-78000T"	"85710-0D570-00           "	10	"465"	10-JAN-25	"163444"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
76	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0010"	"0"	"3000"	"0130906"	"10005500"	"               "		"UR"	"AE062020-95900T"	"85710-0K400-00           "	8	"002"	10-JAN-25	"163243"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
91	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0217"	"0"	"2000"	"0131056"	"10005500"	"               "		"11"	"AE262100-78000T"	"85710-0D570-00           "	10	"0070168"	10-JAN-25	"163446"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
92	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0218"	"0"	"3000"	"0131056"	"10005500"	"               "		"UR"	"AE262100-78000T"	"85710-0D570-00           "	10	"450"	10-JAN-25	"163447"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
77	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	3	"0011"	"0"	"0000"	"0130906"	"10005500"	"               "		"  "	"               "	"                         "		""	10-JAN-25	"163357"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
78	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0204"	"0"	"1000"	"0131056"	"10005500"	"               "		"  "	"               "	"                         "		""	10-JAN-25	"163400"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
79	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0205"	"0"	"2000"	"0131056"	"10005500"	"               "		"11"	"AE262100-78000T"	"85710-0D570-00           "	10	"0070256"	10-JAN-25	"163415"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
80	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0206"	"0"	"3000"	"0131056"	"10005500"	"               "		"UR"	"AE262100-78000T"	"85710-0D570-00           "	10	"461"	10-JAN-25	"163416"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
81	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0207"	"0"	"2000"	"0131056"	"10005500"	"               "		"11"	"AE262100-78000T"	"85710-0D570-00           "	10	"0070176"	10-JAN-25	"163418"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
82	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0208"	"0"	"3000"	"0131056"	"10005500"	"               "		"UR"	"AE262100-78000T"	"85710-0D570-00           "	10	"455"	10-JAN-25	"163419"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
83	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0209"	"0"	"2000"	"0131056"	"10005500"	"               "		"11"	"AE262100-78000T"	"85710-0D570-00           "	10	"0070196"	10-JAN-25	"163421"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
84	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0210"	"0"	"3000"	"0131056"	"10005500"	"               "		"UR"	"AE262100-78000T"	"85710-0D570-00           "	10	"462"	10-JAN-25	"163422"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
85	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0211"	"0"	"2000"	"0131056"	"10005500"	"               "		"11"	"AE262100-78000T"	"85710-0D570-00           "	10	"0070187"	10-JAN-25	"163425"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
86	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0212"	"0"	"3000"	"0131056"	"10005500"	"               "		"UR"	"AE262100-78000T"	"85710-0D570-00           "	10	"456"	10-JAN-25	"163429"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
133	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0259"	"0"	"2000"	"0131056"	"10005500"	"               "		"11"	"AE062020-65400T"	"85710-0K220-00           "	10	"0070224"	10-JAN-25	"163633"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
134	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0260"	"0"	"3000"	"0131056"	"10005500"	"               "		"UR"	"AE062020-65400T"	"85710-0K220-00           "	10	"205"	10-JAN-25	"163634"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
135	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0261"	"0"	"2000"	"0131056"	"10005500"	"               "		"11"	"AE062020-65400T"	"85710-0K220-00           "	10	"0070154"	10-JAN-25	"163647"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
136	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0262"	"0"	"3000"	"0131056"	"10005500"	"               "		"UR"	"AE062020-65400T"	"85710-0K220-00           "	10	"206"	10-JAN-25	"163648"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
137	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0263"	"0"	"2000"	"0131056"	"10005500"	"               "		"11"	"AE062020-65400T"	"85710-0K220-00           "	10	"0070164"	10-JAN-25	"163651"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
138	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0264"	"0"	"3000"	"0131056"	"10005500"	"               "		"UR"	"AE062020-65400T"	"85710-0K220-00           "	10	"207"	10-JAN-25	"163654"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
139	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0265"	"0"	"2000"	"0131056"	"10005500"	"               "		"11"	"AE062020-65400T"	"85710-0K220-00           "	10	"0070158"	10-JAN-25	"163655"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
140	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0266"	"0"	"3000"	"0131056"	"10005500"	"               "		"UR"	"AE062020-65400T"	"85710-0K220-00           "	10	"209"	10-JAN-25	"163707"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
141	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0267"	"0"	"2000"	"0131056"	"10005500"	"               "		"11"	"AE062020-65400T"	"85710-0K220-00           "	10	"0070178"	10-JAN-25	"163713"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
142	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0268"	"0"	"3000"	"0131056"	"10005500"	"               "		"UR"	"AE062020-65400T"	"85710-0K220-00           "	10	"208"	10-JAN-25	"163716"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
143	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0269"	"0"	"1000"	"0131056"	"10005500"	"               "		"  "	"               "	"                         "		""	10-JAN-25	"163725"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
144	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0270"	"0"	"2000"	"0131056"	"10005500"	"               "		"11"	"AE062020-37510T"	"85720-0K270-00           "	10	"0070125"	10-JAN-25	"163729"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
145	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0271"	"0"	"3000"	"0131056"	"10005500"	"               "		"UR"	"AE062020-37510T"	"85720-0K270-00           "	10	"800"	10-JAN-25	"163730"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
146	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0272"	"0"	"2000"	"0131056"	"10005500"	"               "		"11"	"AE062020-37510T"	"85720-0K270-00           "	10	"0070047"	10-JAN-25	"163734"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
147	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0273"	"0"	"3000"	"0131056"	"10005500"	"               "		"UR"	"AE062020-37510T"	"85720-0K270-00           "	10	"806"	10-JAN-25	"163734"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
148	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0274"	"0"	"2000"	"0131056"	"10005500"	"               "		"11"	"AE062020-37510T"	"85720-0K270-00           "	10	"0070110"	10-JAN-25	"163737"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
149	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0275"	"0"	"3000"	"0131056"	"10005500"	"               "		"UR"	"AE062020-37510T"	"85720-0K270-00           "	10	"805"	10-JAN-25	"163740"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
150	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0276"	"0"	"2000"	"0131056"	"10005500"	"               "		"11"	"AE062020-37510T"	"85720-0K270-00           "	10	"0070135"	10-JAN-25	"163745"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
151	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0277"	"0"	"3000"	"0131056"	"10005500"	"               "		"UR"	"AE062020-37510T"	"85720-0K270-00           "	10	"812"	10-JAN-25	"163747"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
152	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0278"	"0"	"2000"	"0131056"	"10005500"	"               "		"11"	"AE062020-37510T"	"85720-0K270-00           "	10	"0070121"	10-JAN-25	"163755"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
173	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0299"	"0"	"3000"	"0131056"	"10005500"	"               "		"UR"	"AE062020-37510T"	"85720-0K270-00           "	10	"804"	10-JAN-25	"163837"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
174	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0300"	"0"	"2000"	"0131056"	"10005500"	"               "		"11"	"AE062020-37510T"	"85720-0K270-00           "	10	"0070089"	10-JAN-25	"163841"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
172	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0298"	"0"	"2000"	"0131056"	"10005500"	"               "		"11"	"AE062020-37510T"	"85720-0K270-00           "	10	"0070073"	10-JAN-25	"163836"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
175	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0301"	"0"	"3000"	"0131056"	"10005500"	"               "		"UR"	"AE062020-37510T"	"85720-0K270-00           "	10	"798"	10-JAN-25	"163842"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
176	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0302"	"0"	"1000"	"0131056"	"10005500"	"               "		"  "	"               "	"                         "		""	10-JAN-25	"163851"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
177	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0303"	"0"	"2000"	"0131056"	"10005500"	"               "		"11"	"AE062020-37310T"	"85710-0K190-00           "	10	"0070139"	10-JAN-25	"163901"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
178	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0304"	"0"	"3000"	"0131056"	"10005500"	"               "		"UR"	"AE062020-37310T"	"85710-0K190-00           "	10	"506"	10-JAN-25	"163902"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
179	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0305"	"0"	"2000"	"0131056"	"10005500"	"               "		"11"	"AE062020-37310T"	"85710-0K190-00           "	10	"0070079"	10-JAN-25	"163904"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
180	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0306"	"0"	"3000"	"0131056"	"10005500"	"               "		"UR"	"AE062020-37310T"	"85710-0K190-00           "	10	"498"	10-JAN-25	"163905"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
181	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0307"	"0"	"2000"	"0131056"	"10005500"	"               "		"11"	"AE062020-37310T"	"85710-0K190-00           "	10	"0070250"	10-JAN-25	"163907"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
182	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0308"	"0"	"3000"	"0131056"	"10005500"	"               "		"UR"	"AE062020-37310T"	"85710-0K190-00           "	10	"504"	10-JAN-25	"163908"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
183	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0309"	"0"	"2000"	"0131056"	"10005500"	"               "		"11"	"AE062020-37310T"	"85710-0K190-00           "	10	"0070216"	10-JAN-25	"163910"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
184	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0310"	"0"	"3000"	"0131056"	"10005500"	"               "		"UR"	"AE062020-37310T"	"85710-0K190-00           "	10	"499"	10-JAN-25	"163912"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
185	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0311"	"0"	"2000"	"0131056"	"10005500"	"               "		"11"	"AE062020-37310T"	"85710-0K190-00           "	10	"0070116"	10-JAN-25	"163922"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
186	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0312"	"0"	"3000"	"0131056"	"10005500"	"               "		"UR"	"AE062020-37310T"	"85710-0K190-00           "	10	"505"	10-JAN-25	"163923"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
187	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0313"	"0"	"2000"	"0131056"	"10005500"	"               "		"11"	"AE062020-37310T"	"85710-0K190-00           "	10	"0070182"	10-JAN-25	"163924"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
188	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0314"	"0"	"3000"	"0131056"	"10005500"	"               "		"UR"	"AE062020-37310T"	"85710-0K190-00           "	10	"495"	10-JAN-25	"163926"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
189	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0315"	"0"	"2000"	"0131056"	"10005500"	"               "		"11"	"AE062020-37310T"	"85710-0K190-00           "	10	"0070152"	10-JAN-25	"163928"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
190	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0316"	"0"	"3000"	"0131056"	"10005500"	"               "		"UR"	"AE062020-37310T"	"85710-0K190-00           "	10	"501"	10-JAN-25	"163931"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
191	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0317"	"0"	"2000"	"0131056"	"10005500"	"               "		"11"	"AE062020-37310T"	"85710-0K190-00           "	10	"0070125"	10-JAN-25	"163932"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
38	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0174"	"0"	"2000"	"0131056"	"10005500"	"               "		"11"	"AE062020-65200T"	"85720-0K170-00           "	10	"0070207"	10-JAN-25	"162951"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
39	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0175"	"0"	"3000"	"0131056"	"10005500"	"               "		"UR"	"AE062020-65200T"	"85720-0K170-00           "	10	"745"	10-JAN-25	"162952"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
44	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0180"	"0"	"2000"	"0131056"	"10005500"	"               "		"11"	"AE062020-65200T"	"85720-0K170-00           "	10	"0070136"	10-JAN-25	"163004"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
45	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0181"	"0"	"3000"	"0131056"	"10005500"	"               "		"UR"	"AE062020-65200T"	"85720-0K170-00           "	10	"735"	10-JAN-25	"163005"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
40	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0176"	"0"	"2000"	"0131056"	"10005500"	"               "		"11"	"AE062020-65200T"	"85720-0K170-00           "	10	"0070247"	10-JAN-25	"162954"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
41	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0177"	"0"	"3000"	"0131056"	"10005500"	"               "		"UR"	"AE062020-65200T"	"85720-0K170-00           "	10	"739"	10-JAN-25	"162955"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
42	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0178"	"0"	"2000"	"0131056"	"10005500"	"               "		"11"	"AE062020-65200T"	"85720-0K170-00           "	10	"0070149"	10-JAN-25	"162958"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
43	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0179"	"0"	"3000"	"0131056"	"10005500"	"               "		"UR"	"AE062020-65200T"	"85720-0K170-00           "	10	"733"	10-JAN-25	"162959"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
46	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0182"	"0"	"2000"	"0131056"	"10005500"	"               "		"11"	"AE062020-65200T"	"85720-0K170-00           "	10	"0070227"	10-JAN-25	"163008"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
47	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0183"	"0"	"3000"	"0131056"	"10005500"	"               "		"UR"	"AE062020-65200T"	"85720-0K170-00           "	10	"741"	10-JAN-25	"163009"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
48	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0184"	"0"	"2000"	"0131056"	"10005500"	"               "		"11"	"AE062020-65200T"	"85720-0K170-00           "	10	"0070140"	10-JAN-25	"163011"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
49	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0185"	"0"	"3000"	"0131056"	"10005500"	"               "		"UR"	"AE062020-65200T"	"85720-0K170-00           "	10	"747"	10-JAN-25	"163012"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
