"SEQ"	"WH"	"DEVID"	"SYSFLG1"	"SYSFLG2"	"SYSFLG3"	"SYSFLG4"	"LOGINID"	"TRDATE"	"TRTYPE"	"OPESEQ"	"RESULT"	"RSNCODE"	"TRUCKNO"	"CUSTNO"	"SHIPPN"	"SHIPQTY"	"TAGTYPE"	"PN"	"CUSTPN"	"QTY"	"TAGSEQ"	"SCANDATE"	"SCANTIME"	"REGISTERED_AT"	"REGISTERED_COMPNAME"	"REGISTERED_COMPCODE"	"SHIPNO"	"CHECKTYPE"	"FILENAME"
19	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0155"	"0"	"1000"	"0131056"	"10005500"	"               "		"  "	"               "	"                         "		""	10-JAN-25	"162859"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
20	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0156"	"0"	"2000"	"0131056"	"10005500"	"               "		"11"	"AE062020-65100T"	"85710-0K200-00           "	10	"0070392"	10-JAN-25	"162900"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
21	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0157"	"0"	"3000"	"0131056"	"10005500"	"               "		"UR"	"AE062020-65100T"	"85710-0K200-00           "	10	"292"	10-JAN-25	"162905"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
22	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0158"	"0"	"2000"	"0131056"	"10005500"	"               "		"11"	"AE062020-65100T"	"85710-0K200-00           "	10	"0070327"	10-JAN-25	"162907"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
23	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0159"	"0"	"3000"	"0131056"	"10005500"	"               "		"UR"	"AE062020-65100T"	"85710-0K200-00           "	10	"294"	10-JAN-25	"162909"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
24	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0160"	"0"	"2000"	"0131056"	"10005500"	"               "		"11"	"AE062020-65100T"	"85710-0K200-00           "	10	"0070262"	10-JAN-25	"162911"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
25	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0161"	"0"	"3000"	"0131056"	"10005500"	"               "		"UR"	"AE062020-65100T"	"85710-0K200-00           "	10	"288"	10-JAN-25	"162911"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
26	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0162"	"0"	"2000"	"0131056"	"10005500"	"               "		"11"	"AE062020-65100T"	"85710-0K200-00           "	10	"0070281"	10-JAN-25	"162913"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
27	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0163"	"0"	"3000"	"0131056"	"10005500"	"               "		"UR"	"AE062020-65100T"	"85710-0K200-00           "	10	"293"	10-JAN-25	"162914"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
28	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0164"	"0"	"2000"	"0131056"	"10005500"	"               "		"11"	"AE062020-65100T"	"85710-0K200-00           "	10	"0070241"	10-JAN-25	"162919"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
29	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0165"	"0"	"3000"	"0131056"	"10005500"	"               "		"UR"	"AE062020-65100T"	"85710-0K200-00           "	10	"291"	10-JAN-25	"162919"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
30	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0166"	"0"	"2000"	"0131056"	"10005500"	"               "		"11"	"AE062020-65100T"	"85710-0K200-00           "	10	"0070305"	10-JAN-25	"162921"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
31	"48"	"08"	" "	" "	" "	" "	"555"	10-JAN-25	1	"0167"	"0"	"3000"	"0131056"	"10005500"	"               "		"UR"	"AE062020-65100T"	"85710-0K200-00           "	10	"290"	10-JAN-25	"162922"	25-APR-25	"DSTH"	"40040"	"01"	"1"	"20250110.CSV"
